Mohafaza PCODE,Mohafaza,Mantika PCODE,Mantika,Nahya PCODE,Nahya,Community PCODE,Community,Neighborhood PCODE,Neighborhood,Lat,Long,RETURNEES Y/N,RETURNEES HH,RETURNEES IND,RETURNEES in RENTED Acco Y/N,RETURNEES in RENTED Acco HH,RETURNEES in RENTED Acco IND,RETURNEES with HOST Y/N,RETURNEES with HOST HH,RETURNEES with HOST IND,RETURNEES in ABANDONED build Y/N,RETURNEES in ABANDONED build HH,RETURNEES in ABANDONED build IND,RETURNEES in FORMAL COLLECTIVE Shelters Y/N,RETURNEES in FORMAL COLLECTIVE Shelters HH,RETURNEES in FORMAL COLLECTIVE Shelters IND,RETURNEES in INFORMAL COLLECTIVE Shelters Y/N,RETURNEES in INFORMAL COLLECTIVE Shelters HH,RETURNEES in INFORMAL COLLECTIVE Shelters IND,RETURNEES in ORGANIZED CAMPS Y/N,RETURNEES in ORGANIZED CAMPS HH,RETURNEES in ORGANIZED CAMPS IND,RETURNEES in SELF SETTLED CAMPS Y/N,RETURNEES in SELF SETTLED CAMPS HH,RETURNEES in SELF SETTLED CAMPS IND,RETURNEES in OWN HOUSE Y/N,RETURNEES in OWN HOUSE HH,RETURNEES in OWN HOUSE IND,RETURNEES Year,RETURNEES from Country,RETURNEES from Mohafaza PCODE,RETURNEES from Mohafaza,RETURNEES from Mantika PCODE,RETURNEES from Mantika,RETURNEES from Nahya PCODE,RETURNEES from Nahya,RETURNEES from Place
SY05,Hama,SY0501,Hama,SY050101,Suran,C3030,Maarkaba,,,35.31695384,36.66757813,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY04,Homs,SY0406,Al Makhrim,SY040601,Jeb Ej-Jarrah,C2932,Rahum,,,34.79191068,37.32557483,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1103,Wadi Eldibis,,,35.74173364,37.35517929,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY04,Homs,SY0404,Ar-Rastan,SY040401,Talbiseh,C2883,Um Sharshouh,,,34.87500068,36.69133178,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY03,Rural Damascus,SY0302,Duma,SY030204,Nashabiyeh,C6665,Bala,,,33.49482592,36.42210282,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C6430,Hamidiyet Al-Shadad,,,35.72743014,37.14774012,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1077,Shweihet Ellahib,,,35.80519756,37.27052251,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY02,Aleppo,SY0203,Afrin,SY020300,Afrin,C1362,Hawa,,,36.52321695,36.9112091,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY03,Rural Damascus,SY0301,Rural Damascus,SY030105,Kafr Batna,C6671,Hosh Al-Ashary,,,33.52703248,36.42016475,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
SY02,Aleppo,SY0200,Jebel Saman,SY020002,Tall Ed-daman,C1044,Batranah,,,35.89107656,37.1941966,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,No,0,0,0,,0,,0,,0,,0
